STATE,USPS Code,LEGAL,DCRIM,MED,year,legal_year
19,IA,0,0,0,2017,NA
20,KS,0,0,0,2017,NA
21,KY,0,0,0,2017,NA
22,LA,0,0,1,2017,NA
23,ME,1,0,1,2017,2016
24,MD,0,1,1,2017,NA
25,MA,1,1,1,2017,2016
26,MI,0,0,1,2017,2018
27,MN,0,1,1,2017,NA
28,MS,0,1,0,2017,NA
29,MO,0,1,0,2017,NA
30,MT,0,0,1,2017,NA
31,NE,0,1,0,2017,NA
32,NV,1,0,1,2017,2016
33,NH,0,1,1,2017,NA
34,NJ,0,0,1,2017,NA
35,NM,0,0,1,2017,NA
36,NY,0,1,1,2017,NA
37,NC,0,1,0,2017,NA
38,ND,0,0,0,2017,NA
39,OH,0,1,1,2017,NA
40,OK,0,0,0,2017,NA
41,OR,1,0,1,2017,2014
42,PA,0,0,1,2017,NA
43,PR,0,0,0,2017,NA
44,RI,0,1,1,2017,NA
45,SC,0,0,0,2017,NA
46,SD,0,0,0,2017,NA
47,TN,0,0,0,2017,NA
48,TX,0,0,0,2017,NA
49,UT,0,0,0,2017,NA
50,VT,0,1,1,2017,2018
51,VA,0,0,0,2017,NA
53,WA,1,0,1,2017,2012
54,WV,0,0,1,2017,NA
55,WI,0,0,0,2017,NA
56,WY,0,0,0,2017,NA
1,AL,0,0,0,2018,NA
2,AK,1,0,1,2018,2014
4,AZ,0,0,1,2018,NA
5,AR,0,0,0,2018,NA
6,CA,1,1,1,2018,2016
8,CO,1,1,0,2018,2012
9,CT,0,1,1,2018,NA
10,DE,0,1,1,2018,NA
11,DC,0,0,0,2018,NA
12,FL,0,0,0,2018,NA
13,GA,0,0,0,2018,NA
15,HI,0,0,1,2018,NA
16,ID,0,0,0,2018,NA
17,IL,0,1,1,2018,2019
18,IN,0,0,0,2018,NA
19,IA,0,0,0,2018,NA
20,KS,0,0,0,2018,NA
21,KY,0,0,0,2018,NA
22,LA,0,0,1,2018,NA
23,ME,1,0,1,2018,2016
24,MD,0,1,1,2018,NA
25,MA,1,1,1,2018,2016
26,MI,1,0,1,2018,2018
27,MN,0,1,1,2018,NA
28,MS,0,1,0,2018,NA
29,MO,0,1,1,2018,NA
30,MT,0,0,1,2018,NA
31,NE,0,1,0,2018,NA
32,NV,1,0,1,2018,2016
33,NH,0,1,1,2018,NA
34,NJ,0,0,1,2018,NA
35,NM,0,0,1,2018,NA
36,NY,0,1,1,2018,NA
37,NC,0,1,0,2018,NA
38,ND,0,0,0,2018,NA
39,OH,0,1,1,2018,NA
40,OK,0,0,1,2018,NA
41,OR,1,0,1,2018,2014
42,PA,0,0,1,2018,NA
43,PR,0,0,0,2018,NA
44,RI,0,1,1,2018,NA
45,SC,0,0,0,2018,NA
46,SD,0,0,0,2018,NA
47,TN,0,0,0,2018,NA
48,TX,0,0,0,2018,NA
49,UT,0,0,1,2018,NA
50,VT,1,1,1,2018,2018
51,VA,0,0,0,2018,NA
53,WA,1,0,1,2018,2012
54,WV,0,0,1,2018,NA
55,WI,0,0,0,2018,NA
56,WY,0,0,0,2018,NA
1,AL,0,0,0,2019,NA
2,AK,1,0,1,2019,2014
4,AZ,0,0,1,2019,NA
5,AR,0,0,0,2019,NA
6,CA,1,1,1,2019,2016
8,CO,1,1,0,2019,2012
9,CT,0,1,1,2019,NA
10,DE,0,1,1,2019,NA
11,DC,0,0,0,2019,NA
12,FL,0,0,0,2019,NA
13,GA,0,0,0,2019,NA
15,HI,0,1,1,2019,NA
16,ID,0,0,0,2019,NA
17,IL,1,1,1,2019,2019
18,IN,0,0,0,2019,NA
19,IA,0,0,0,2019,NA
20,KS,0,0,0,2019,NA
21,KY,0,0,0,2019,NA
22,LA,0,0,1,2019,NA
23,ME,1,0,1,2019,2016
24,MD,0,1,1,2019,NA
25,MA,1,1,1,2019,2016
26,MI,1,0,1,2019,2018
27,MN,0,1,1,2019,NA
28,MS,0,1,0,2019,NA
29,MO,0,1,1,2019,NA
30,MT,0,0,1,2019,NA
31,NE,0,1,0,2019,NA
32,NV,1,0,1,2019,2016
33,NH,0,1,1,2019,NA
34,NJ,0,0,1,2019,NA
35,NM,0,1,1,2019,NA
36,NY,0,1,1,2019,NA
37,NC,0,1,0,2019,NA
38,ND,0,1,0,2019,NA
39,OH,0,1,1,2019,NA
40,OK,0,0,1,2019,NA
41,OR,1,0,1,2019,2014
42,PA,0,0,1,2019,NA
43,PR,0,0,0,2019,NA
44,RI,0,1,1,2019,NA
45,SC,0,0,0,2019,NA
46,SD,0,0,0,2019,NA
47,TN,0,0,0,2019,NA
48,TX,0,0,0,2019,NA
49,UT,0,0,1,2019,NA
50,VT,1,1,1,2019,2018
51,VA,0,0,0,2019,NA
53,WA,1,0,1,2019,2012
54,WV,0,0,1,2019,NA
55,WI,0,0,0,2019,NA
56,WY,0,0,0,2019,NA
